plate,mjd,fiberid,redshift,ra,dec,oiii_5007_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_flux,h_beta_flux,h_alpha_eqw
905,52643,600,0.1243551,159.09739,54.43913,16.30499,79.81587,28.75905,18.35749,12.87293,90.74005,23.30383,-5.751541
912,52427,453,0.05287795,204.64988,-1.4510929,16.82046,23.49164,22.38639,14.56589,3.511131,86.86122,21.67754,-22.93129
920,52411,226,0.1532586,221.01651,-2.5164925,14.63728,38.40451,9.612091,8.567437,4.02153,40.804,12.15935,-2.394228
930,52618,599,0.09703719,123.72688,29.492208,17.43556,156.5173,78.11856,51.41898,13.33972,386.4672,66.72518,-37.91388
937,52707,579,0.05113119,138.64342,39.689754,9.882603,42.93998,25.59272,16.86249,5.214433,123.6105,32.73005,-19.04421
946,52407,605,0.1257479,155.24294,57.329864,477.0144,72.82099,75.66311,50.65156,16.74134,620.5836,218.6781,-138.3295
954,52405,131,0.1024178,181.22733,59.001798,14.76167,42.20376,29.54487,15.81146,5.167889,116.5883,22.26205,-13.86715
961,52615,394,0.1067404,156.08961,46.784532,9.112437,80.30639,26.1389,21.99768,5.141401,240.9682,55.20737,-15.48168
967,52636,244,0.05806369,174.70364,48.627239,2562.276,442.8702,422.2375,304.6122,61.92411,3562.355,1092.927,-252.7699
975,52411,171,0.1080725,256.63596,30.762462,20.22278,118.5165,51.45012,36.20983,6.954134,303.5701,81.00239,-37.48112
986,52443,131,0.1153175,318.64354,-0.19413439,49.20324,70.54533,14.39117,20.56663,5.932098,39.11285,8.663008,-2.757902
994,52725,443,0.07924767,148.04453,6.9205819,45.13993,68.8624,53.68291,36.53577,8.037416,253.9505,71.16815,-41.68711
1001,52670,263,0.1494116,161.4238,6.735867,32.36546,178.6807,76.89149,51.21605,307.5481,452.3512,100.8636,-60.7688
1007,52706,120,0.06898081,153.84339,50.30292,19.92285,141.7035,61.30421,41.85096,9.198926,385.8275,88.7444,-21.00899
1015,52734,551,0.01990838,175.21642,54.949378,112.8197,147.8031,66.57769,52.59386,19.70266,156.7788,34.28951,-2.667202
1022,52524,239,0.178209,311.48465,-0.080496803,20.9039,31.74316,6.498835,13.54065,4.213139,127.0618,32.72926,-34.19926
274,51913,115,0.09530569,160.77378,-0.054898489,111.6197,61.85086,28.086,19.28242,6.973658,108.1738,25.97646,-9.90889
281,51614,181,0.07275676,171.87052,-0.45307674,51.66584,26.05061,19.50267,9.016152,6.012956,44.45797,16.16104,-4.425234
286,51999,441,0.07783861,181.39331,1.0295424,20.64466,16.86915,24.53332,12.58233,3.516538,83.98567,27.31866,-23.60094
296,51984,86,0.08040725,199.98855,-0.93856879,17.04372,73.53971,48.46399,34.08186,9.878945,224.5527,54.86971,-27.59197
303,51615,149,0.1845022,213.78273,-0.36760865,6.50237,39.50391,19.28952,12.02073,2.633834,80.7672,20.57764,-11.74477
309,51994,484,0.1110188,223.84401,0.34993958,10.22847,37.15849,22.68396,17.04629,1.991312,110.2846,27.1607,-20.71642
327,52294,595,0.1059752,174.68891,-2.2849723,8.154179,42.5438,22.31153,14.61507,6.60337,132.0219,34.29691,-16.47012
336,51999,62,0.01104494,192.31078,-2.8968305,17.58345,8.439699,15.69296,9.699266,2.493087,62.29353,20.74122,-13.33427
344,51693,244,0.09518528,240.29138,-1.0426656,35.87571,121.1213,68.44808,45.3734,18.27879,386.8975,80.83421,-36.67375
355,51788,315,0.1265392,257.41917,57.356351,7.26445,20.4257,9.212794,5.044455,3.861674,7.347191,0.3166699,-1.328364
367,51997,12,0.1156163,262.33304,54.682635,12.12794,80.3414,21.75101,15.71859,5.469782,150.0449,14.15343,-14.2571
377,52145,139,0.1434125,339.6458,-1.1533949,51.94537,77.34209,53.12206,35.19062,13.07293,273.9245,67.53284,-58.75581
386,51788,592,0.113498,358.80619,0.33479865,36.62558,69.83295,28.63144,20.50661,4.600764,206.0301,48.22553,-31.23405
394,51913,256,0.1033547,12.620195,-1.0025826,93.92413,134.4371,52.08297,35.96564,20.29061,152.6746,26.69318,-12.35482
401,51788,280,0.0742159,24.701392,-0.039199177,36.75122,325.1016,101.0065,84.37098,24.31505,601.335,82.21556,-55.42724
411,51817,129,0.03051206,46.099257,-0.97626164,267.1233,47.70955,87.09019,57.52538,22.59378,468.9725,123.3776,-35.93933
419,51879,8,0.05666537,11.999117,13.74272,2399.531,766.7543,288.9517,273.9783,139.5591,826.7864,228.3717,-40.80454
426,51882,209,0.1193882,24.223942,13.009699,11.76081,49.26145,30.2098,19.89073,5.809966,149.7187,35.1239,-29.08429
434,51885,314,0.05238005,115.87371,42.106068,13.58268,19.99883,18.26292,11.77956,5.009535,77.53574,21.79407,-17.09522
442,51882,197,0.0726637,125.49651,50.687225,19.09315,61.97857,43.94449,25.90004,16.59853,89.23733,24.44871,-2.920993
448,51900,631,0.0862314,135.01442,56.38456,22.91152,28.42782,24.60018,22.49499,8.868474,54.08801,14.81167,-2.399053
456,51910,294,0.09229229,40.734306,-9.0318637,10.40685,60.15707,33.24068,20.10907,3.216765,163.563,31.80972,-15.46114
463,51908,91,0.1427571,57.7906,-7.1846717,17.71604,86.21427,21.68658,20.13871,7.174964,96.75365,13.55569,-8.844285
471,51924,507,0.01660349,137.43954,1.7940093,19.63001,5.149283,10.69041,8.350242,3.329317,45.51079,12.90149,-17.5855
486,51910,494,0.1248639,145.54415,61.304178,59.18262,212.1224,65.87852,49.38506,16.53496,377.5067,79.24224,-28.51754
493,51957,567,0.1307951,183.61577,68.589512,4.866659,28.62772,9.864536,9.379004,3.196546,80.68321,16.83604,-11.59353
501,52235,257,0.03230694,149.9512,1.0951262,133.8292,963.9767,344.4801,262.944,44.71469,1859.106,463.1262,-29.61922
507,52353,398,0.1366506,161.95152,2.7988915,7.461213,53.01103,17.86272,13.95531,5.891068,125.9518,30.6867,-13.77449
516,52017,207,0.09568717,179.98679,1.2884077,64.46738,47.39927,43.06533,27.21723,7.475268,211.6302,71.29424,-37.90204
523,52026,316,0.2064172,193.04034,2.2661386,271.7382,335.9396,114.1629,89.31269,33.29914,497.5655,102.0029,-47.40785
530,52026,305,0.0714868,206.38144,1.9224604,11.44774,80.22659,25.83928,20.72146,2.527271,194.0399,41.82865,-14.7109
540,51996,476,0.09183082,227.62122,1.7590859,11.93494,14.96415,11.8078,7.868762,4.516013,25.21903,10.13725,-1.432521
548,51986,124,0.1455305,127.0512,44.805611,6.773569,17.32282,7.984671,4.720621,1.473406,14.18954,4.21349,-1.632048
558,52317,211,0.2241374,149.1498,56.371213,0.9227104,3.675614,3.459446,0.8552274,25.75846,8.490461,3.549995,-0.9481433
568,52254,367,0.05666059,140.64334,4.3338442,23.40644,50.12716,38.72345,27.65821,1.617315,174.0838,46.90774,-21.71667
577,52367,468,0.06992386,159.11575,5.0059597,42.45114,32.22776,27.10352,25.14892,5.604161,158.7095,28.83351,-26.28177
583,52055,634,0.1124212,214.91769,4.8710603,13.34146,50.69408,30.1507,19.66816,6.268442,146.531,40.05963,-20.63305
590,52057,169,0.04635539,227.91817,3.6761712,10.84458,78.88878,20.35602,23.33994,11.23894,204.7458,46.72081,-4.688936
970,52413,403,0.03061612,183.37023,50.756861,26.02126,211.1392,50.77191,33.75489,18.26329,506.5811,91.64723,-10.60518
978,52441,455,0.1784543,258.85162,31.107566,15.38036,129.8757,29.76145,35.76374,9.642887,314.408,63.31199,-35.52411
989,52468,546,0.1069795,324.36723,0.44323905,12.32423,36.68758,23.27251,15.59412,5.796294,104.7223,25.60609,-19.77266
999,52636,166,0.06764261,158.33767,6.3402632,27.40338,46.37942,15.35843,19.35514,8.074605,31.71741,16.24042,-1.083218
1006,52708,544,0.06576466,151.44323,49.753728,23.85896,48.02792,16.60457,5.360258,8.087892,56.92984,12.82729,-1.874405
1014,52707,21,0.08104376,175.22011,54.127294,22.18848,91.64651,55.45429,48.89746,7.06262,319.1682,83.89665,-28.89281
1020,52721,306,0.03376614,185.83593,54.881929,11.12045,71.00305,37.03965,23.85084,8.838762,207.1712,52.06487,-12.35762
273,51957,257,0.1400914,157.42326,-1.0624136,3.35733,36.91181,4.748318,8.385135,2.766234,80.03245,17.75196,-10.20057
280,51612,137,0.1308649,170.44164,-0.42218499,10.83834,91.09563,20.94625,21.66114,3.614746,226.208,59.07407,-8.99471
287,52023,506,0.07464101,183.42228,0.19648776,16.38264,37.39774,13.41513,10.68486,5.265234,31.87417,16.52135,-1.045037
295,51985,377,0.07987984,198.2165,0.7461675,4.446565,10.0919,7.766246,9.344679,1.172807,41.22385,11.55056,-12.2172
302,51688,530,0.1425822,212.26928,1.1378122,15.5932,28.84816,21.69393,15.84186,4.527641,106.1337,26.93777,-22.51597
311,51665,224,0.09287232,227.6115,0.13884437,14.22452,54.08143,27.45767,21.09177,6.212939,105.1209,27.17108,-8.872478
330,52370,565,0.1270707,179.04496,-1.2667966,48.01934,49.18671,17.68385,13.54267,4.380105,59.29338,9.092828,-4.409735
339,51692,195,0.08149458,195.91972,-2.7638209,6.219519,20.94517,4.366691,1.212242,2.530291,28.98969,10.60217,-1.629837
348,51671,481,0.02563905,248.68587,0.40213813,49.41799,239.6279,137.9245,99.6666,13.85741,759.9768,194.3503,-33.7611
355,51788,295,0.02976905,257.64917,56.727931,142.8145,30.99209,43.19609,29.64441,7.834869,225.0399,73.55756,-20.30127
371,52078,537,0.2159587,328.412,0.79927715,5.948639,39.83418,10.84657,13.96644,2.566901,141.733,30.6674,-20.83409
380,51792,395,0.1077679,344.56336,0.41571526,54.65496,46.11442,39.16011,26.36929,5.046994,200.0188,54.5306,-48.65407
389,51795,163,0.06352092,4.1267232,-0.633774,89.89728,439.3467,139.4906,105.2811,26.64085,816.4804,155.4702,-27.83617
396,51816,358,0.06390884,15.176909,-0.037283813,107.2048,50.95731,56.76091,38.98928,7.558384,283.9214,81.26007,-48.48997
403,51871,38,0.0781038,30.444461,-0.72029639,56.05725,110.9145,57.32714,40.94336,12.27986,230.4894,63.06758,-10.47182
411,51817,323,0.07404796,44.877206,0.84804706,10.82011,55.50487,12.94314,17.97365,6.614542,89.1354,19.45503,-3.780704
418,51817,115,0.1541517,10.209931,14.619537,4.750436,30.15726,17.33519,7.316259,6.930397,20.47645,8.634214,-1.746681
424,51893,307,0.05272934,19.518217,14.556382,17.86831,57.92628,21.97992,20.812,4.267659,117.7174,19.42147,-7.861097
433,51873,85,0.09264041,116.50907,36.907486,11.4039,39.17775,19.51201,10.08258,0.8522547,75.31459,5.834875,-6.708482
440,51885,634,0.1218988,125.06038,49.37379,10.3968,44.34273,20.32627,17.31028,3.361059,75.48996,16.97261,-8.105917
447,51877,87,0.1380373,131.95832,51.159225,9.764009,33.93046,17.79673,8.81076,5.044185,62.89276,20.336,-4.51017
454,51908,388,0.07629266,35.945778,-8.2135637,15.3792,113.3603,47.45424,25.92537,9.13314,287.0504,66.92191,-20.79572
463,51908,558,0.1135935,58.019469,-5.9581211,24.4555,41.83023,10.99153,11.35634,6.358185,75.02814,14.7635,-5.213815
476,52314,515,0.1216669,144.50731,-0.0048485963,25.17897,45.65925,17.60025,12.59288,11.14496,42.5231,11.47757,-1.623273
489,51930,258,0.1180997,157.83349,64.233338,1039.323,267.52,89.94278,85.42401,48.01929,432.9747,113.1818,-37.84578
498,51984,247,0.08180574,211.14533,63.935156,7.84433,28.52969,13.98329,10.39006,4.000838,69.29192,16.33445,-8.596128
505,52317,473,0.09627175,159.04676,2.6735516,24.74812,160.3405,46.79139,39.74791,12.60651,269.476,46.81414,-15.26052
511,52636,615,0.1293623,171.02832,3.3497596,12.9816,94.1016,43.66019,29.3641,7.41313,289.2595,69.2558,-37.63408
518,52282,83,0.07492337,184.34089,1.5991348,11.80436,26.05763,16.76266,9.998799,5.480617,45.67286,10.06137,-2.658154
524,52027,552,0.07781647,196.58694,3.0052532,5.229101,18.8363,6.550672,9.352901,1.006082,50.21678,11.9607,-10.95798
530,52026,98,0.09275386,207.93003,1.6079051,164.3147,176.1786,74.28882,59.3496,19.91958,234.5204,59.08319,-12.11901
539,52017,38,0.1407001,226.97396,1.7262106,14.5699,51.84497,29.78585,20.20528,4.032974,168.4226,36.33813,-28.22692
548,51986,2,0.05441001,128.29153,45.023392,17.11257,106.5455,37.61322,25.09609,10.25645,231.8528,51.39156,-8.240626
557,52253,462,0.1422562,147.12737,57.397065,8.156981,67.19838,19.05688,11.04142,7.275622,71.66028,11.20743,-6.214884
568,52254,244,0.1162421,140.71357,2.9353686,1810.098,141.6786,167.5167,130.3394,44.58189,1690.846,464.409,-373.074
577,52367,407,0.0439491,159.25614,5.558745,133.1389,25.14903,47.14694,30.86845,13.55919,223.409,83.39116,-32.55169
583,52055,324,0.1365858,212.92955,5.2485598,7.51748,22.18825,10.38349,4.436548,8.28825,17.22075,4.567722,-0.9964533
591,52022,235,0.112874,229.0523,2.9201883,10.40494,59.86475,10.81749,9.442829,3.8185,73.87746,15.21095,-6.386288
598,52316,438,0.1450056,177.33401,65.128886,24.32889,78.4015,47.026,31.74044,9.161579,255.5715,63.29908,-24.86085
606,52365,123,0.0365968,214.64405,61.567736,7.256939,12.8508,11.13726,9.092681,3.70254,49.59473,12.50937,-14.7139
612,52079,606,0.07092652,230.49672,58.106344,6.466076,17.65416,9.910316,6.197681,1.525944,54.58251,14.85964,-12.40771
621,52055,261,0.1803747,240.37287,52.490668,6.578452,33.54908,15.98378,11.48153,3.6233,97.03974,21.07338,-12.06078
629,52051,540,0.1337162,250.95796,45.287672,44.54527,226.6205,79.78923,67.42131,18.19526,520.9279,103.0405,-43.02174
640,52200,37,0.02806325,322.46458,-7.2986711,41.89083,8.288984,20.02854,16.43055,2.285102,76.00122,26.58366,-19.50253
649,52201,480,0.1064977,358.47586,-10.044686,25.55504,23.89151,12.20462,5.97398,12.70027,21.31218,14.57245,-0.9384572
656,52148,598,0.1537712,12.21827,-9.7050258,65.25034,221.189,43.15055,43.62234,11.31741,414.4446,93.20018,-40.79171
