#Table1
plate,mjd,fiberid,subclass
548,51986,68,AGN
1811,53533,122,STARBURST BROADLINE
542,51993,555,BROADLINE
328,52282,469,
644,52173,541,BROADLINE
1831,54557,501,STARBURST BROADLINE
2656,54484,131,STARBURST BROADLINE
2770,54510,314,
490,51929,237,BROADLINE
367,51997,266,
1295,52934,124,
587,52026,370,
2659,54498,521,STARFORMING
833,52314,615,BROADLINE
2268,53682,451,
2758,54523,564,
552,51992,396,
542,51993,164,
270,51909,537,BROADLINE
721,52228,254,
2094,53851,630,STARBURST BROADLINE
2271,53726,343,AGN BROADLINE
2758,54523,414,
1866,53314,508,STARBURST BROADLINE
587,52026,548,
2783,54524,517,BROADLINE
2972,54586,148,STARBURST BROADLINE
2616,54499,564,
542,51993,55,
1272,52989,380,
1751,53377,484,
1590,52974,557,STARFORMING
328,52282,169,
2532,54589,599,STARBURST BROADLINE
2281,53711,151,STARBURST BROADLINE
306,51637,392,
542,51993,198,
978,52441,524,STARBURST BROADLINE
2102,54115,509,
1864,53313,562,
1803,54152,577,
721,52228,240,STARBURST BROADLINE
2884,54526,557,
2364,53737,458,STARBURST BROADLINE
2016,53799,61,STARBURST BROADLINE
1600,53090,363,BROADLINE
883,52430,320,BROADLINE
1059,52618,215,BROADLINE
552,51992,99,BROADLINE
394,51913,404,
900,52637,420,BROADLINE
2636,54082,381,BROADLINE
2018,53800,481,BROADLINE
274,51913,230,AGN
919,52409,23,STARBURST BROADLINE
274,51913,548,BROADLINE
2230,53799,638,
1301,52976,575,
443,51873,535,BROADLINE
1237,52762,621,
655,52162,498,
1944,53385,513,STARFORMING BROADLINE
2754,54240,378,STARBURST
653,52145,122,STARBURST
1871,53384,178,BROADLINE
1018,52672,549,
2783,54524,220,
995,52731,4,STARBURST BROADLINE
328,52282,42,STARFORMING
529,52025,66,
900,52637,296,
2583,54095,384,STARBURST
542,51993,574,
1426,52993,551,BROADLINE
513,51989,110,AGN BROADLINE
2343,53735,352,
2355,53792,105,BROADLINE
534,51997,531,AGN BROADLINE
328,52282,19,BROADLINE
2089,53498,375,AGN
2570,54081,138,STARBURST BROADLINE
2808,54524,472,BROADLINE
2878,54465,503,BROADLINE
