#Table1
plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_cont,h_beta_cont,h_gamma_cont,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,e_bv_sfd,ratio_oiii_hb,ratio_oiii_hg
1833,54561,567,59.02945,51.26057,43.84315,95.78408,99.76785,73.83957,-0.4592102,-0.4272045,-0.4577559,0.04346284,1.151556,1.346378
1844,54138,567,79.77216,187.5047,69.28073,55.64703,55.14499,49.56639,-1.432729,-3.015568,-1.129171,0.0238126,0.4254408,1.151433
1866,53314,508,1692.576,4447.396,1995.165,142.7077,208.0602,194.2415,-15.56735,-15.2922,-8.526052,0.08946528,0.3805769,0.8483391
1920,53314,351,33.22916,5.968867,8.512462,74.59475,76.79836,56.14401,-0.2299135,-0.1754886,-0.03802337,0.03686634,5.56708,3.903589
1920,53314,602,293.0093,846.2684,328.7621,56.79972,55.95175,59.90799,-5.526733,-15.14135,-5.307639,0.0346267,0.3462369,0.8912504
1923,53319,382,568.3103,3421.211,1400.953,68.40611,83.67632,94.3774,-7.226767,-30.15136,-12.24471,0.03154486,0.1661138,0.4056597
1936,53330,20,3722.328,2066.184,860.6888,103.0978,105.6211,124.0874,-37.26626,-19.95253,-6.966505,0.02737706,1.801547,4.324824
1943,53386,466,752.4831,942.4144,564.974,100.3409,137.1329,123.8273,-6.423095,-5.208287,-3.904174,0.01675888,0.798463,1.33189
1949,53433,457,28.1549,1.524357,1.022816,88.72134,91.508,71.97556,-0.324927,0.1477153,0.5045895,0.01124564,18.47002,27.52684
1951,53389,614,4883.344,8040.256,3266.457,200.2328,278.0403,271.9171,-25.73394,-20.80499,-9.624524,0.01104522,0.6073617,1.494997
2006,53476,618,615.4768,1308.8,680.9434,60.54076,83.04579,77.29491,-9.067629,-11.47021,-7.356067,0.01489416,0.4702603,0.903859
2033,53476,512,1063.173,3167.782,1516.804,111.5425,138.1385,145.7662,-7.651133,-16.67516,-8.640867,0.01505516,0.3356205,0.7009295
2089,53498,364,1796.153,1132.781,567.5385,48.14919,56.12516,51.08113,-39.88965,-21.11396,-11.35879,0.02293305,1.585613,3.164812
2094,53851,630,4705.315,1342.066,883.8357,74.86163,109.9535,98.71916,-70.34769,-9.84405,-7.263531,0.01869195,3.506023,5.323744
2101,53858,294,50.22141,64.0114,64.98826,81.62549,84.76235,62.61075,-0.5439554,-0.6262717,-0.9397234,0.01325422,0.7845697,0.7727766
2102,54115,485,48.50198,26.21209,12.02292,63.15502,64.45747,47.88936,-0.8104719,-0.3447267,-0.1392478,0.01122212,1.850366,4.034128
2102,54115,521,61.21214,44.48927,33.65313,97.16759,100.3651,73.47286,-0.5613758,-0.3869972,-0.4010318,0.007514635,1.375886,1.818914
2121,54180,446,110.9227,199.325,72.82019,84.20812,83.86514,73.88519,-1.350626,-2.124868,-0.7594966,0.01546018,0.5564918,1.523242
2123,53793,443,1623.558,1357.127,942.168,175.4409,191.9697,166.5978,-8.909379,-5.379469,-4.573113,0.0183279,1.19632,1.723215
2151,54523,395,11.06479,52.07384,42.65931,93.95524,97.51157,71.10885,-0.1774964,-0.387391,-0.4689156,0.02682822,0.2124826,0.2593757
2151,54523,436,43.54912,175.3755,64.27416,68.7363,69.0275,58.8371,-0.6583997,-2.438479,-0.9199635,0.02601053,0.2483193,0.6775525
2158,54209,114,724.6421,4356.603,1787.17,106.0457,131.3769,141.6632,-5.677571,-24.24099,-10.53013,0.04312729,0.1663319,0.4054691
2168,53886,484,3964.664,2333.71,1383.448,165.3666,220.5826,210.469,-23.6386,-7.715301,-5.343834,0.04254047,1.698867,2.865784
2202,53566,592,545.1528,1958.264,942.7999,51.27236,68.58915,67.1468,-10.0706,-20.19644,-11.76659,0.04924946,0.2783858,0.5782274
2204,53877,431,52.88428,38.21439,3.257305,84.9556,89.08963,64.42023,-0.4475668,-0.4170801,-0.1243994,0.05689964,1.383884,16.2356
2204,53877,640,26.59293,35.49782,14.16697,85.94897,89.92235,64.96992,-0.4011444,-0.4465226,-0.05415475,0.05583666,0.7491426,1.877108
2205,53793,624,65.42193,41.0438,22.92115,76.4683,78.99459,58.51709,-0.9168841,-0.5536921,-0.3148352,0.07056096,1.593954,2.854216
2214,53794,207,102.5828,428.8295,170.0858,84.57327,83.92151,69.50971,-1.227122,-4.957559,-2.300168,0.0195652,0.2392157,0.6031236
2222,53799,194,4286.996,3572.795,1423.135,92.76336,106.9822,103.7428,-49.94422,-24.84218,-10.95394,0.02418874,1.1999,3.012361
2222,53799,453,886.6225,2150.045,1126.438,94.59515,103.659,113.391,-11.5472,-18.73977,-8.708666,0.02191551,0.4123738,0.7871025
2233,53845,594,514.6418,568.3914,499.6391,72.64365,98.27659,92.84615,-6.332394,-4.384429,-4.456197,0.02095873,0.9054357,1.030027
